,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
One Step Closer___Linkin Park,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,audio_features,3K4HG9evC7dg3N0R9cYqk4,spotify:track:3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/tracks/3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/audio-analysis/3K4HG9evC7dg3N0R9cYqk4,157333,4,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM
the last great american dynasty___Taylor Swift,,,,,,,,,,,,,,,,,,,,
Saturday Sun___Vance Joy,,,,,,,,,,,,,,,,,,,,
Right Now___Nick Jonas,0.597,0.751,6,-4.982,0,0.193,0.0104,0,0.0912,0.568,103.956,audio_features,43wzy7JxMEfvCh8ZFeZKYk,spotify:track:43wzy7JxMEfvCh8ZFeZKYk,https://api.spotify.com/v1/tracks/43wzy7JxMEfvCh8ZFeZKYk,https://api.spotify.com/v1/audio-analysis/43wzy7JxMEfvCh8ZFeZKYk,201680,4,Right Now,4UsjjAKbtKzmgEz2pGbv6P
Keep On___Sasha Alex Sloan,0.762,0.585,8,-8.819,1,0.102,0.478,0,0.113,0.303,140.005,audio_features,4gbB4ORVF9jqFWgPF8277Z,spotify:track:4gbB4ORVF9jqFWgPF8277Z,https://api.spotify.com/v1/tracks/4gbB4ORVF9jqFWgPF8277Z,https://api.spotify.com/v1/audio-analysis/4gbB4ORVF9jqFWgPF8277Z,180240,4,Self Portrait,5UZriQSHZOJOjqUtPE5lpg
Grade A (feat. JAWNY)___spill tab,,,,,,,,,,,,,,,,,,,,
What to say after Thank You___Learn Korean with David,,,,,,,,,,,,,,,,,,,,
He Can't Love U___Jagged Edge,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,audio_features,3VEZvzr84WVnoorZ4tlBSw,spotify:track:3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/tracks/3VEZvzr84WVnoorZ4tlBSw,https://api.spotify.com/v1/audio-analysis/3VEZvzr84WVnoorZ4tlBSw,244053,4,J.E. Heartbreak,4tIkdOt2ohTHJ1VptEwNu3
How Can I Forget___MKTO,0.796,0.53,8,-5.967,1,0.0558,0.69,0,0.0646,0.754,105.031,audio_features,6TK8v3cAfA1XCy6nZ1JOMe,spotify:track:6TK8v3cAfA1XCy6nZ1JOMe,https://api.spotify.com/v1/tracks/6TK8v3cAfA1XCy6nZ1JOMe,https://api.spotify.com/v1/audio-analysis/6TK8v3cAfA1XCy6nZ1JOMe,177141,4,How Can I Forget,7wXSTyouRQK3u9dFx6Qpfd
"Morni Banke (From ""Badhaai Ho"")___Guru Randhawa",0.816,0.922,11,-2.963,0,0.149,0.178,0,0.373,0.887,95.006,audio_features,2Wu9PNpLUCBl3W1GaPqkhl,spotify:track:2Wu9PNpLUCBl3W1GaPqkhl,https://api.spotify.com/v1/tracks/2Wu9PNpLUCBl3W1GaPqkhl,https://api.spotify.com/v1/audio-analysis/2Wu9PNpLUCBl3W1GaPqkhl,198026,4,"Morni Banke (From ""Badhaai Ho"")",1lTV7wbMeSmLrBOjf42FER
