,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
13568,Drake,Passionfruit,467,2022-01-09 11:55:00,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,5mCPDVBb16L4XQwDdbRUpz,4,More Life,1lXY618HWkwYKJWBRYR4MK
13569,The Maine,Love Yourself,190081,2022-01-09 14:01:00,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,50kpGaPAhYJ3sGmk6vplg0,4,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr
13570,The Weeknd,Less Than Zero,211814,2022-01-09 15:35:00,0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,2D4dV2KXDTszzJ3p3cFqhA,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13571,The Weeknd,How Do I Make You Love Me?,87614,2022-01-09 15:36:00,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,0.636,121.006,2Ghp894n1laIf2w98VeAOJ,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13572,The Weeknd,Dawn FM,96240,2022-01-09 15:40:00,0.28,0.478,9,-8.755,0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,6krYS8KtmNAYyb5uTZiYW4,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13573,The Weeknd,Best Friends,134030,2022-01-09 16:05:00,0.737,0.564,4,-7.045,0,0.105,0.436,0.0,0.351,0.528,90.0,1E5Xu8dur0fAjSP1VpVhAZ,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
13574,ILLENIUM,Sideways,251830,2022-01-09 18:03:00,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926,0PMNxtgeNSmPPp4aiA4T8F,4,Sideways,06eiw663CL0vHSY7jvtZ3p
13575,Axwell /\ Ingrosso,More Than You Know,203000,2022-01-09 18:07:00,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,6h5PAsRni4IRlxWr6uDPTP,4,More Than You Know,6Ei5WWek37m1x9AjpSXTcJ
13576,Swedish House Mafia,Don't You Worry Child,403493,2022-01-09 18:13:00,0.609,0.83,11,-3.229,0,0.0552,0.117,0.0,0.18,0.478,128.986,0Xsytzrjs2YaFhGp2JwPVT,4,Pregame Hits,1aK3FJpDrPFo6SZuuNObRv
13577,Mike Perry,Save Me Now,1978,2022-01-09 18:16:00,0.556,0.684,2,-5.075,1,0.0459,0.0106,0.0,0.531,0.23,125.189,1gT4R71PKKWcd7kSqAmNWC,4,Save Me Now,4vJT6er7II3CDCYZsOBoci
13578,Janji,Take My Hand,10388,2022-01-09 18:16:00,0.532,0.632,1,-6.765,0,0.0331,0.0937,0.0,0.169,0.175,121.934,1Z650q7rTHtlSWi17dvDFo,4,Take My Hand,08yGtFtsjppMCvfHUBGkYZ
13579,Robin Schulz,Speechless (feat. Erika Sirola),1959,2022-01-09 18:16:00,0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,125.047,1rCcsYnmqbMYdkG7kS9GC5,4,Speechless (feat. Erika Sirola),6c9vwMfJN8ojcFFmPWEPRE
13580,Forest Blakk,Fall Into Me - Lucas Estrada Remix,172974,2022-01-09 18:19:00,0.636,0.567,2,-7.592,1,0.0723,0.0917,0.0,0.0961,0.24,118.041,2PizPWKi8OHhkExTfbNzDu,4,Fall Into Me (Lucas Estrada Remix),2B4LIkD8riMac30bmd90vD
13581,Bon Jovi,You Give Love A Bad Name,149768,2022-01-09 18:21:00,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,0rmGAIH9LNJewFw7nKzZnc,4,Slippery When Wet,0kBfgEilUFCMIQY5IOjG4t
13582,Bon Jovi,Whole Lot Of Leavin',2547,2022-01-09 18:23:00,0.568,0.815,6,-6.132,1,0.0384,0.000859,0.00409,0.0991,0.273,105.962,7qjG4vx1VMF2Qcbdf9pQp7,4,Lost Highway,3Dxca4qkrQuwU4Fcix3l1a
13583,Taylor Swift,my tears ricochet,14666,2022-01-09 18:23:00,0.456,0.263,0,-10.63,1,0.0332,0.806,0.0,0.0749,0.111,129.86,1MgV7FIyNxIG7WzMRJV5HC,4,folklore,2fenSS68JI1h4Fo296JfGr
13584,Taylor Swift,illicit affairs,1110,2022-01-09 18:23:00,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,2NmsngXHeC1GQ9wWrzhOMf,4,folklore,2fenSS68JI1h4Fo296JfGr
13585,Taylor Swift,seven,1434,2022-01-09 18:23:00,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,6KJqZcs9XDgVck7Lg9QOTC,4,folklore,2fenSS68JI1h4Fo296JfGr
13586,Bon Jovi,Whole Lot Of Leavin',3561,2022-01-09 20:44:00,0.568,0.815,6,-6.132,1,0.0384,0.000859,0.00409,0.0991,0.273,105.962,7qjG4vx1VMF2Qcbdf9pQp7,4,Lost Highway,3Dxca4qkrQuwU4Fcix3l1a
13587,DREAMERS,True Crime,1981,2022-01-09 20:44:00,0.691,0.748,6,-4.2,0,0.0237,0.00401,3.02e-06,0.196,0.905,93.014,5L4gz4w97oCjHpoSQQbg1p,4,True Crime,4II98hQprkBKxGcLoF7pgn
13588,Khalid,Saturday Nights,1179,2022-01-09 20:44:00,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,5kfNriitmkNE8mUbZ7gbq8,4,Suncity,2Qxc2NJ7yPKVFRWi3llRr2
13589,Kodaline,Brother,1367,2022-01-09 20:44:00,0.519,0.625,10,-5.909,1,0.0482,0.349,0.0,0.121,0.21,120.103,65gLJGey4u4KFFqoC5fzFJ,4,Politics of Living,1ITjhViDumL9llxAJYdKiC
13590,Taylor Swift,illicit affairs,1370,2022-01-09 20:44:00,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,2NmsngXHeC1GQ9wWrzhOMf,4,folklore,2fenSS68JI1h4Fo296JfGr
13591,Bon Jovi,You Give Love A Bad Name,1228,2022-01-09 20:44:00,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,0rmGAIH9LNJewFw7nKzZnc,4,Slippery When Wet,0kBfgEilUFCMIQY5IOjG4t
13592,WALK THE MOON,Shut Up and Dance,1017,2022-01-09 20:44:00,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,4,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT
13593,R3HAB,Runaway (with Sigala & JP Cooper) [Los Padres Remix],710,2022-01-09 20:44:00,0.685,0.773,0,-7.976,0,0.228,0.0915,0.0,0.0945,0.576,126.035,47v4GwIrvq6LSxS5KIo3r7,4,Runaway (with Sigala & JP Cooper) [Los Padres Remix],0wkOCiKDIjUsVipFEbUwO3
13594,Alka Yagnik,Agar Tum Saath Ho,684,2022-01-09 20:44:00,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,3hkC9EHFZNQPXrtl8WPHnX,4,Tamasha,2CUXo26JAWIbQx0EVMnjpA
13595,WALK THE MOON,Shut Up and Dance,157066,2022-01-09 20:47:00,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,4,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT
13596,Sleeping Wolf,One Wish,12542,2022-01-09 20:54:00,0.53,0.387,6,-9.729,0,0.0279,0.779,2.86e-06,0.117,0.125,94.779,2yg5QZbSvRfnihLLZ2zdLB,4,The Silent Ones,1c8Qsml8C1IX6laAlAXqAe
